xPath,yPath,xOutside,yOutside,xInside,yInside
104.133,138.161,96.1436,144.176,112.122,132.146
104.904,139.141,97.18,145.493,112.627,132.79
105.706,140.074,98.2743,146.765,113.137,133.383
106.549,140.969,99.425,147.987,113.674,133.952
107.444,141.838,100.627,149.155,114.26,134.522
108.384,142.678,101.875,150.27,114.892,135.086
109.364,143.484,103.168,151.333,115.56,135.635
110.379,144.253,104.501,152.343,116.257,136.163
111.424,144.981,105.874,153.3,116.974,136.663
112.494,145.664,107.284,154.2,117.703,137.129
113.583,146.299,108.731,155.043,118.435,137.555
114.686,146.881,110.214,155.825,119.158,137.937
115.798,147.406,111.731,156.542,119.865,138.271
116.933,147.881,113.279,157.189,120.587,138.573
118.103,148.311,114.852,157.768,121.355,138.855
119.304,148.696,116.446,158.279,122.161,139.113
120.527,149.034,118.059,158.725,122.995,139.343
121.767,149.324,119.688,159.105,123.846,139.542
123.018,149.564,121.331,159.42,124.705,139.707
124.273,149.752,122.986,159.669,125.561,139.836
125.526,149.889,124.65,159.851,126.402,139.928
126.771,149.972,126.323,159.962,127.218,139.982
