xPath,yPath,xOutside,yOutside,xInside,yInside
74.614,101.233,81.7826,94.2603,67.4455,108.205
69.2992,96.098,75.8991,88.5852,62.6994,103.611
64.0034,91.9111,69.5839,83.6131,58.4228,100.209
58.8592,89.0769,62.5004,79.7633,55.218,98.3904
53.9994,88,54.4004,78.008,53.5984,97.992
48.9013,88.6772,46.4999,78.9699,51.3027,98.3846
43.1372,90.6871,39.1843,81.5015,47.09,99.8726
36.9817,93.8066,32.0074,85.1316,41.956,102.482
30.7094,97.8132,24.9719,89.6229,36.4468,106.004
24.5948,102.484,18.2115,94.7863,30.9782,110.181
18.9127,107.596,11.914,100.453,25.9114,114.739
13.9375,112.926,6.28653,106.487,21.5885,119.365
9.94394,118.253,1.5428,112.828,18.3451,123.677
7.20656,123.352,-2.06347,119.601,16.4766,127.102
5.99994,128.001,-3.96361,127.148,15.9635,128.854
6.4192,132.548,-3.31105,134.855,16.1495,130.241
8.23244,137.417,-0.773093,141.764,17.238,133.069
11.2236,142.5,2.93917,148.101,19.5081,136.899
15.1768,147.689,7.49665,154.093,22.857,141.285
19.876,152.876,12.6883,159.829,27.0636,145.923
25.1051,157.953,18.3251,165.304,31.8851,150.602
30.6481,162.812,24.2173,170.47,37.0789,155.154
36.2891,167.345,30.1724,175.256,42.4059,159.434
41.8121,171.444,35.9975,179.58,47.6268,163.308
